iter	Passed	Remaining
0	0	62
1	0	58
2	1	55
3	1	52
4	2	50
5	2	49
6	2	48
7	3	47
8	3	46
9	3	45
10	4	45
11	4	44
12	5	44
13	5	43
14	5	43
15	6	42
16	6	42
17	6	41
18	7	40
19	7	40
20	7	40
21	8	39
22	8	39
23	9	39
24	9	38
25	9	38
26	10	37
27	10	37
28	10	36
29	11	36
30	11	35
31	11	35
32	12	34
33	12	34
34	12	34
35	13	33
36	13	33
37	13	32
38	14	32
39	14	32
40	15	31
41	15	31
42	15	31
43	16	30
44	16	30
45	16	30
46	17	29
47	17	29
48	18	29
49	18	28
50	18	28
51	19	27
52	19	27
53	19	27
54	20	26
55	20	26
56	20	25
57	21	25
58	21	25
59	21	24
60	22	24
61	22	23
62	22	23
63	23	23
64	23	22
65	23	22
66	24	22
67	24	21
68	24	21
69	25	20
70	25	20
71	26	20
72	26	19
73	26	19
74	27	19
75	27	18
76	27	18
77	28	18
78	28	17
79	28	17
80	29	17
81	29	16
82	29	16
83	30	15
84	30	15
85	30	15
86	31	14
87	31	14
88	32	14
89	32	13
90	32	13
91	33	12
92	33	12
93	33	12
94	34	11
95	34	11
96	34	11
97	35	10
98	35	10
99	35	10
100	36	9
101	36	9
102	36	8
103	37	8
104	37	8
105	37	7
106	38	7
107	38	7
108	38	6
109	39	6
110	39	6
111	39	5
112	40	5
113	40	4
114	41	4
115	41	4
116	41	3
117	42	3
118	42	3
119	42	2
120	43	2
121	43	2
122	43	1
123	44	1
124	44	1
125	44	0
126	44	0
127	45	0
