iter	Passed	Remaining
0	0	703
1	1	733
2	1	618
3	2	562
4	2	527
5	3	500
6	3	483
7	3	469
8	4	459
9	4	450
10	4	442
11	5	436
12	5	431
13	6	427
14	6	423
15	6	419
16	7	416
17	7	413
18	7	410
19	8	408
20	8	405
21	9	403
22	9	402
23	9	400
24	10	399
25	10	397
26	10	395
27	11	394
28	11	392
29	12	391
30	12	389
31	12	388
32	13	388
33	13	392
34	14	391
35	14	390
36	14	390
37	15	388
38	15	387
39	16	386
40	16	385
41	16	384
42	17	383
43	17	382
44	17	381
45	18	380
46	18	379
47	19	379
48	19	378
49	19	377
50	20	376
51	20	375
52	20	374
53	21	374
54	21	373
55	22	372
56	22	372
57	22	371
58	23	370
59	23	369
60	23	368
61	24	368
62	24	367
63	25	366
64	25	366
65	25	365
66	26	365
67	26	364
68	26	363
69	27	363
70	28	374
71	29	374
72	29	374
73	29	374
74	30	373
75	30	373
76	31	373
77	31	373
78	31	372
79	32	372
80	32	372
81	33	371
82	33	369
83	33	369
84	34	369
85	34	369
86	35	368
87	35	368
88	35	368
89	36	367
90	36	367
91	37	367
92	37	367
93	38	366
94	38	366
95	38	366
96	39	365
97	39	365
98	40	364
99	40	363
100	40	363
101	41	362
102	41	362
103	41	361
104	42	361
105	42	361
106	43	361
107	43	360
108	44	360
109	44	359
110	44	359
111	45	358
112	45	358
113	46	358
114	46	357
115	46	356
116	47	355
117	47	355
118	47	354
119	48	353
120	48	353
121	48	351
122	49	351
123	49	350
124	50	350
125	50	349
126	50	348
127	51	347
128	51	347
129	51	346
130	52	345
131	52	345
132	52	344
133	53	344
134	53	343
135	53	342
136	54	342
137	54	341
138	55	340
139	55	340
140	55	339
141	55	338
142	56	337
143	56	337
144	57	336
145	57	335
146	57	335
147	58	335
148	58	335
149	59	334
150	59	334
151	59	333
152	60	332
153	60	332
154	60	331
155	61	331
156	61	330
157	61	329
158	62	329
159	62	328
160	62	327
161	63	327
162	63	326
163	63	325
164	64	325
165	64	324
166	65	324
167	65	323
168	65	323
169	66	323
170	66	322
171	66	322
172	67	321
173	67	320
